Country,Commodity,Side,Type,Elasticity,Notes,Year
Japan,Soybeans,Demand,Own-price,-0.4,Food,0
Japan,Soybeans,Demand,Own-price,0.25,Crush Margin,0
Japan,Soybeans,Supply,Own-price,0.37,Area,0
South Korea,Soybeans,Demand,Own-price,0.25,Crush Margin,0
South Korea,Soybeans,Demand,Own-price,-0.15,Food,0
South Korea,Soybeans,Supply,Own-price,0.36,Area,0
Taiwan,Soybeans,Demand,Own-price,-0.3,Food,0
Taiwan,Soybeans,Demand,Own-price,0.15,Crush Margin,0
Taiwan,Soybeans,Supply,Own-price,0.15,Area,0
Argentina,Sugarcane,Supply,Own-price,0.09,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Australia,Sugarcane,Supply,Own-price,0.14,Refined sugar pool price=ƒ(World raw sugar price),0
Brazil,Sugarcane,Supply,Own-price,0.2,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
China,Sugarcane,Supply,Own-price,0.09,Sugarcane farm price=ƒ(Retail refined sugar price),0
Colombia,Sugarcane,Supply,Own-price,0.11,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Cuba,Sugarcane,Supply,Own-price,0.08,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Egypt,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
European Union - 15,Sugarcane,Supply,Own-price,0.31,Basic beet price,0
Guatemala,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
India,Sugarcane,Supply,Own-price,0.21,Sugarcane farm price=ƒ(World raw sugar price),0
Indonesia,Sugarcane,Supply,Own-price,0.08,Cane/rice net returns,0
Iran,Sugarcane,Supply,Own-price,0.06,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Japan,Sugarcane,Supply,Own-price,0.18,Sugarcane farm price=ƒ(Retail refined sugar price),0
Malaysia,Sugarcane,Supply,Own-price,0.09,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Mexico,Sugarcane,Supply,Own-price,0.2,Standard refined sugar price,0
Morocco,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Pakistan,Sugarcane,Supply,Own-price,0.07,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Peru,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Philippines,Sugarcane,Supply,Own-price,0.11,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
South Africa,Sugarcane,Supply,Own-price,0.12,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
Thailand,Sugarcane,Supply,Own-price,0.17,Sugarcane farm price=ƒ(World raw sugar price),0
Venezuela,Sugarcane,Supply,Own-price,0.1,Domestic raw sugar price=World raw sugar price(1 + import tariff),0
